game_id,match_id,recorded_at,champion,player,rank,kills,deaths,assists,cs,vision,gold,patch,game_date,video_mb,video_filename,youtube_url
567255001,JP1_567255001,2026-02-26 06:52,Zaahen,Dopaminw#OUI,Challenger,13,8,10,39,41,14743,16.4,2026-02-24 21:42 JST,1301,[JP Challenger JG] Zaahen 13-8-10 - Dopaminw#OUI.mp4,https://www.youtube.com/watch?v=FG59txgfnFQ
567268312,JP1_567268312,2026-02-26 01:52,Viego,I Am AtomiKSword#シャドウ,Challenger,14,3,2,7,21,14340,,,2408,,
567276939,JP1_567276939,2026-02-26 01:52,Viego,I Am AtomiKSword#シャドウ,Challenger,10,4,3,6,24,13429,,,2409,,
567287391,JP1_567287391,2026-02-26 01:52,Viego,I Am AtomiKSword#シャドウ,Challenger,20,3,9,44,30,21324,,,3082,,
567302563,JP1_567302563,2026-02-26 06:22,Karthus,senzawa#JP1,Challenger,12,3,9,59,14,15248,16.4,2026-02-25 00:32 JST,1056,[JP Challenger JG] Karthus 12-3-9 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=I_vlCVCtUKc
567376971,JP1_567376971,2026-02-26 03:48,Graves,jisoo#bp777,Challenger,11,2,2,21,27,11336,16.4,2026-02-25 14:59 JST,782,,https://www.youtube.com/watch?v=suDk3D1Eetk
567421464,JP1_567421464,2026-02-26 03:30,Karthus,senzawa#JP1,Challenger,8,2,13,18,19,12121,16.4,2026-02-25 20:01 JST,904,,https://www.youtube.com/watch?v=iH5SD60W5J8
567428582,JP1_567428582,2026-02-26 03:09,Ambessa,I Am AtomiK#シャドウ,Challenger,8,2,6,35,15,13695,16.4,2026-02-25 20:44 JST,1064,,https://www.youtube.com/watch?v=-L50TTy1_Rg
567441157,JP1_567441157,2026-02-26 02:44,Evelynn,senzawa#JP1,Challenger,15,1,10,31,23,14874,16.4,2026-02-25 21:29 JST,964,,https://www.youtube.com/watch?v=2jTeuhC2WAY
567452481,JP1_567452481,2026-02-26 02:21,Evelynn,senzawa#JP1,Challenger,7,2,3,11,13,7861,16.4,2026-02-25 22:11 JST,736,,https://www.youtube.com/watch?v=xpEu-5mDTdg
567561674,JP1_567561674,2026-02-26 20:14,Karthus,senzawa#JP1,Challenger,13,9,14,21,30,16750,16.4,2026-02-26 15:00 JST,1325,[JP Challenger JG] Karthus 13-9-14 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=csMRRoXbr3g
567566014,JP1_567566014,2026-02-26 19:43,Fizz,すやひめ#15ff,Challenger,0,0,0,0,0,515,16.4,2026-02-26 15:31 JST,55,[JP Challenger JG] Fizz 0-0-0 - すやひめ#15ff.mp4,
567570975,JP1_567570975,2026-02-26 19:41,Viego,senzawa#JP1,Challenger,15,5,7,22,21,17475,16.4,2026-02-26 16:24 JST,1333,[JP Challenger JG] Viego 15-5-7 - senzawa#JP1.mp4,
567577125,JP1_567577125,2026-02-26 19:10,Shaco,くるみかん#123,Challenger,3,1,5,13,26,11098,16.4,2026-02-26 16:59 JST,1112,[JP Challenger JG] Shaco 3-1-5 - くるみかん#123.mp4,
567580353,JP1_567580353,2026-02-26 18:45,Zaahen,Dopaminw#OUI,Challenger,12,5,17,33,58,16681,16.4,2026-02-26 17:28 JST,1523,[JP Challenger JG] Zaahen 12-5-17 - Dopaminw#OUI.mp4,
567594040,JP1_567594040,2026-02-27 10:12,Evelynn,senzawa#JP1,Challenger,10,0,2,9,14,8246,16.4,2026-02-26 19:04 JST,687,[JP Challenger JG] Evelynn 10-0-2 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=ZkqDZFuajkY
567624584,JP1_567624584,2026-02-27 09:56,Evelynn,senzawa#JP1,Challenger,3,2,9,11,27,12119,16.4,2026-02-26 21:42 JST,1243,[JP Challenger JG] Evelynn 3-2-9 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=ST6xnjgmjbY
567640653,JP1_567640653,2026-02-27 09:27,Karthus,senzawa#JP1,Challenger,12,7,19,28,16,15488,16.4,2026-02-26 22:37 JST,1127,[JP Challenger JG] Karthus 12-7-19 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=NT3bkPz3JVA
567645590,JP1_567645590,2026-02-27 09:01,Taliyah,定风波#520,Challenger,5,4,10,46,42,15609,16.4,2026-02-26 22:53 JST,1409,[JP Challenger JG] Taliyah 5-4-10 - 定风波#520.mp4,https://www.youtube.com/watch?v=JCNS6_lCg3E
567660367,JP1_567660367,2026-02-27 08:28,Taliyah,定风波#520,Challenger,7,5,9,53,50,16075,16.4,2026-02-26 23:43 JST,1327,[JP Challenger JG] Taliyah 7-5-9 - 定风波#520.mp4,https://www.youtube.com/watch?v=8sweG05fVWM
567759370,JP1_567759370,2026-02-28 05:27,Zaahen,Dopaminw#OUI,Challenger,5,3,8,12,21,10687,16.4,2026-02-27 17:25 JST,1014,[JP Challenger JG] Zaahen 5-3-8 - Dopaminw#OUI.mp4,https://www.youtube.com/watch?v=JE1Gc-lJapE
567799868,JP1_567799868,2026-02-28 05:03,Naafiri,I Am AtomiK#シャドウ,Challenger,14,5,10,25,13,16089,16.4,2026-02-27 21:34 JST,1197,[JP Challenger JG] Naafiri 14-5-10 - I Am AtomiK#シャドウ.mp4,https://www.youtube.com/watch?v=BYl_tKqcjmU
567885534,JP1_567885534,2026-02-28 04:35,Rengar,china đoóc#2302,Challenger,12,2,2,22,26,12059,16.4,2026-02-28 03:27 JST,1013,[JP Challenger JG] Rengar 12-2-2 - china đoóc#2302.mp4,https://www.youtube.com/watch?v=hllzGDNp4aU
567967720,JP1_567967720,2026-03-01 15:40,Sylas,I Am AtomiK#シャドウ,Challenger,12,9,5,9,23,13046,16.4,2026-02-28 17:02 JST,1234,[JP Challenger JG] Sylas 12-9-5 - I Am AtomiK#シャドウ.mp4,https://www.youtube.com/watch?v=ksOnmEuLKpI
568004838,JP1_568004838,2026-03-01 15:11,Karthus,senzawa#JP1,Challenger,5,2,9,13,13,10749,16.4,2026-02-28 20:37 JST,968,[JP Challenger JG] Karthus 5-2-9 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=QJ-7lBd3CYE
568145953,JP1_568145953,2026-03-01 14:49,Fizz,定风波#520,Challenger,12,5,8,21,18,13665,16.4,2026-03-01 12:21 JST,1165,[JP Challenger JG] Fizz 12-5-8 - 定风波#520.mp4,https://www.youtube.com/watch?v=4H4A9fhKcg0
568265436,JP1_568265436,2026-03-03 00:49,Viego,大小姐驾到#Molly,Challenger,11,2,2,15,32,13723,16.4,2026-03-01 22:21 JST,1168,[JP Challenger JG] Viego 11-2-2 - 大小姐驾到#Molly.mp4,
568296482,JP1_568296482,2026-03-03 00:21,Talon,CTRLME#77777,Challenger,6,1,4,34,26,13398,16.4,2026-03-02 00:15 JST,1098,[JP Challenger JG] Talon 6-1-4 - CTRLME#77777.mp4,
568323927,JP1_568323927,2026-03-02 23:56,Diana,BC EL#JP1,Challenger,6,3,10,40,36,14340,16.4,2026-03-02 03:31 JST,1206,[JP Challenger JG] Diana 6-3-10 - BC EL#JP1.mp4,https://www.youtube.com/watch?v=VZVCt0DdLQo
568367737,JP1_568367737,2026-03-02 23:28,Evelynn,senzawa#JP1,Challenger,11,4,8,6,24,13527,16.4,2026-03-02 15:32 JST,1221,[JP Challenger JG] Evelynn 11-4-8 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=X4qvViolpqY
568369608,JP1_568369608,2026-03-02 22:59,Graves,ONCE#JP1,Challenger,6,2,6,22,26,9063,16.4,2026-03-02 15:44 JST,735,[JP Challenger JG] Graves 6-2-6 - ONCE#JP1.mp4,https://www.youtube.com/watch?v=10QvWF27yq0
568380194,JP1_568380194,2026-03-02 22:42,Rengar,我要验牌#十JQKA,Challenger,10,3,8,31,48,14869,16.4,2026-03-02 17:12 JST,1168,[JP Challenger JG] Rengar 10-3-8 - 我要验牌#十JQKA.mp4,https://www.youtube.com/watch?v=dc352ycr14U
568401109,JP1_568401109,2026-03-02 22:15,Zyra,くるみかん#123,Challenger,8,3,14,37,41,16479,16.4,2026-03-02 19:41 JST,1496,[JP Challenger JG] Zyra 8-3-14 - くるみかん#123.mp4,https://www.youtube.com/watch?v=61-3SOBVWO4
568407732,JP1_568407732,2026-03-02 21:40,Taliyah,定风波#520,Challenger,11,3,10,36,39,16707,16.4,2026-03-02 20:25 JST,1359,[JP Challenger JG] Taliyah 11-3-10 - 定风波#520.mp4,https://www.youtube.com/watch?v=TRoloH5pKqk
568466129,JP1_568466129,2026-03-04 01:06,Fizz,定风波#520,Challenger,22,3,7,28,26,20503,16.4,2026-03-02 23:55 JST,1304,[JP Challenger JG] Fizz 22-3-7 - 定风波#520.mp4,https://www.youtube.com/watch?v=bZonx4N4vNo
